94308,93437,1473
185978,185253,1297
185978,187179,834
185978,189010,1803
203504,202678,1718
203504,207419,1910
284268,121407,1102
284268,285745,531
364056,200784,1422
364056,205551,867
396870,167229,1542
396870,235804,760
396870,237249,866
446782,117548,1164
494830,165421,1547
494830,167220,918
494830,169729,1389
514081,184718,1480
514081,187647,957
560884,231430,1319
560884,233820,520
655464,136248,1179
655464,330411,1985
666675,147292,1349
666675,149742,897
666675,151399,620
717474,198134,1349
795164,275780,1285
795164,277585,890
795164,280261,622
849059,221140,1684
849059,332913,1734
860600,232906,1149
860600,235075,804
909466,281353,1825
909466,285136,889
990354,199541,1550
990354,364390,996
990354,366292,1264
1059784,130088,1913
1073329,143712,1568
1073329,146451,987
1073329,147331,1372
1086635,157009,1673
1086635,161066,1233
1115113,185515,1379
1115113,188028,717
1214179,85939,1307
1214179,288567,887
1305150,176523,1767
1305150,178420,619
1305150,180290,1569
1358335,122362,1900
1442502,38491,1466
1442502,208632,790
1442502,210670,1326
1537852,133961,1347
1537852,136838,1258
1566732,104253,1707
1566732,164750,958
1629336,166924,1640
1629336,170690,1592
1674114,211765,1261
1674114,213814,724
1674114,215575,1699
1719318,256948,1327
1742144,233602,1115
1742144,282050,760
1742144,283817,534
1788519,279515,1962
1788519,282820,1403
1877780,189712,1504
1877780,371321,534
1971847,283722,1287
1971847,287254,710
2037049,348648,1612
2037049,350597,581
2037049,352882,1059
2055302,367031,1275
2143515,277860,1610
2143515,457788,568
2143515,458470,1617
2162522,297086,1709
2162522,301420,1796
2230780,365271,1517
2230780,367783,700
2312267,446769,1449
2312267,450600,1684
2365032,393062,1909
2365032,501474,787
2365032,503557,755
2455846,302641,1547
2548126,394730,1589
2548126,397219,625
2548126,399251,603
2646273,295813,1415
2646273,496464,635
2735801,385570,1516
2735801,388063,816
2833734,483106,1882
2833734,487185,1811
2862747,512135,1776
2862747,514752,522
2862747,516533,1115
2892108,481893,1554
2958553,548597,1399
2958553,550556,926
2958553,552735,565
3056807,646841,1583
3056807,650240,794
3068705,658767,1192
3068705,660852,987
