14,1,14
43,1,14
43,45,4
65,1,10
91,1,10
91,45,9
114,1,12
130,7,18
130,28,8
146,25,13
170,53,12
170,68,5
189,27,12
213,4,13
213,68,9
238,28,16
259,50,13
259,80,9
284,21,12
296,28,14
296,50,6
317,50,18
329,33,9
329,84,7
343,17,15
372,1,15
372,79,3
390,9,17
416,37,14
416,67,6
430,53,15
455,26,5
455,97,7
483,1,15
504,1,8
504,34,4
533,23,10
554,1,16
554,60,3
564,5,10
588,1,17
588,50,5
600,10,8
629,36,14
629,60,4
649,8,11
674,33,12
674,60,3
693,52,13
705,68,10
705,93,8
717,52,10
745,23,8
745,111,8
770,47,12
781,61,6
781,83,9
791,70,10
807,49,10
807,108,8
818,58,16
835,74,11
835,97,6
864,108,12
876,89,10
876,151,7
895,70,14
919,96,8
919,125,5
945,125,9
971,94,8
971,182,9
989,77,7
1008,93,17
1008,128,8
1021,106,16
1048,74,11
1048,167,5
1069,97,6
1083,76,16
1083,130,6
1094,87,16
1115,59,14
1115,144,3
1131,73,17
1153,101,9
1153,124,4
1179,67,17
1200,49,14
1200,118,4
1215,67,11
1228,75,11
1228,111,5
1256,40,17
1281,64,11
1281,87,6
1306,92,11
1316,105,7
1316,126,9
1338,1,110
